uf;porte_do_cliente;setor_bndes;produto;ano;;valor_desembolsado_reais
 AC;MÉDIA;COMÉRCIO E SERVIÇOS;BNDES FINAME;2012;count;50.0
 AC;MÉDIA;COMÉRCIO E SERVIÇOS;BNDES FINAME;2012;sum;8813752.0
 AC;MÉDIA;COMÉRCIO E SERVIÇOS;BNDES FINAME;2013;count;26.0
 AC;MÉDIA;COMÉRCIO E SERVIÇOS;BNDES FINAME;2013;sum;9195513.0
 AC;MÉDIA;COMÉRCIO E SERVIÇOS;BNDES FINAME;2014;count;20.0
 AC;MÉDIA;COMÉRCIO E SERVIÇOS;BNDES FINAME;2014;sum;6484245.0
 AC;MÉDIA;COMÉRCIO E SERVIÇOS;BNDES FINAME;2015;count;13.0
 AC;MÉDIA;COMÉRCIO E SERVIÇOS;BNDES FINAME;2015;sum;1015600.0
 AC;MÉDIA;COMÉRCIO E SERVIÇOS;BNDES FINAME;2016;count;3.0
 AC;MÉDIA;COMÉRCIO E SERVIÇOS;BNDES FINAME;2016;sum;354462.0
 AC;MÉDIA;COMÉRCIO E SERVIÇOS;BNDES FINAME;2017;count;6.0
 AC;MÉDIA;COMÉRCIO E SERVIÇOS;BNDES FINAME;2017;sum;853690.0
 AC;MÉDIA;COMÉRCIO E SERVIÇOS;BNDES FINAME;2018;count;10.0
