uf;porte_do_cliente;setor_bndes;produto;ano;;desembolsos_reais
AC;MICRO;AGROPECUÁRIA;BNDES AUTOMÁTICO;2006;sum;3986999.2
AC;MICRO;AGROPECUÁRIA;BNDES AUTOMÁTICO;2007;count;15.0
AC;MICRO;AGROPECUÁRIA;BNDES AUTOMÁTICO;2007;sum;1909375.44
AC;MICRO;AGROPECUÁRIA;BNDES AUTOMÁTICO;2008;count;12.0
AC;MICRO;AGROPECUÁRIA;BNDES AUTOMÁTICO;2008;sum;2241830.8899999997
AC;MICRO;AGROPECUÁRIA;BNDES AUTOMÁTICO;2009;count;5.0
AC;MICRO;AGROPECUÁRIA;BNDES AUTOMÁTICO;2009;sum;1000240.0
AC;MICRO;AGROPECUÁRIA;BNDES AUTOMÁTICO;2010;count;13.0
AC;MICRO;AGROPECUÁRIA;BNDES AUTOMÁTICO;2010;sum;3204633.44
AC;MICRO;AGROPECUÁRIA;BNDES AUTOMÁTICO;2012;count;1.0
AC;MICRO;AGROPECUÁRIA;BNDES AUTOMÁTICO;2012;sum;56000.0
AC;MICRO;AGROPECUÁRIA;BNDES AUTOMÁTICO;2015;count;8.0
AC;MICRO;AGROPECUÁRIA;BNDES AUTOMÁTICO;2015;sum;3313494.91
AC;MICRO;AGROPECUÁRIA;BNDES AUTOMÁTICO;2016;count;33.0
AC;MICRO;AGROPECUÁRIA;BNDES AUTOMÁTICO;2016;sum;14860603.169999998
AC;MICRO;AGROPECUÁRIA;BNDES AUTOMÁTICO;2017;count;18.0
AC;MICRO;AGROPECUÁRIA;BNDES AUTOMÁTICO;2017;sum;5411574.8
AC;MICRO;AGROPECUÁRIA;BNDES AUTOMÁTICO;2018;count;16.0
AC;MICRO;AGROPECUÁRIA;BNDES AUTOMÁTICO;2018;sum;2436500.0
AC;MICRO;AGROPECUÁRIA;BNDES AUTOMÁTICO;2019;count;15.0
AC;MICRO;AGROPECUÁRIA;BNDES AUTOMÁTICO;2019;sum;3070810.0
AC;MICRO;AGROPECUÁRIA;BNDES AUTOMÁTICO;2020;count;7.0
AC;MICRO;AGROPECUÁRIA;BNDES AUTOMÁTICO;2020;sum;812172.0
AC;MICRO;AGROPECUÁRIA;BNDES FINAME;1995;count;9.0
