"ano";"mes";"bndes_finem";"bndes_exim";"bndes_nao_reembolsavel";"bndes_automatico";"bndes_finame";"cartao_bndes"
1999;3;"213499,1899156";"70705,85846";"0,0";"70292,5839104997";"96277,7878825";"0,0"
1999;4;"88595,9374294";"67627,9283902";"0,0";"101891,0813761";"117025,5796516";"0,0"
1999;5;"31337,4603323";"83911,7059735";"0,0";"90567,0514288";"93139,9471179";"0,0"
1999;6;"216045,2821763";"105063,57413";"0,0";"70874,2375480998";"93585,6597310998";"0,0"
1999;7;"57369,7811367";"42755,47";"129,1502499";"79332,696313692";"102652,7127435";"0,0"
1999;8;"59967,4513164";"37315,96268";"8,7511825";"75420,3899379";"142645,9047886";"0,0"
1999;9;"60472,0410593";"57505,91992";"0,0";"62613,6430391";"119866,601129";"0,0"
1999;10;"81207,4176161";"98046,54507";"0,0";"64547,2911518001";"117477,4714698";"0,0"
1999;11;"156503,3843302";"48875,14923";"0,0";"64922,5021672";"124361,4117852";"0,0"
1999;12;"721239,5489971";"73007,24684";"35,8494553";"141748,059708899";"173492,6808326";"0,0"
2000;1;"65013,0674554";"31731,82987";"13,8584914";"75162,0054978004";"105165,6549821";"0,0"
2000;2;"30103,3686345";"17437,13442";"0,0";"79290,1556437999";"120280,6187843";"0,0"
2000;3;"95893,5739896";"118863,28315";"9,8231261";"77732,3810621995";"137800,7424538";"0,0"
2000;4;"71378,2225908";"47993,52595";"0,0";"71938,1045009008";"136920,2241754";"0,0"
2000;5;"42572,5569459";"38127,8411";"0,0";"74016,1939710002";"182247,401756001";"0,0"
2000;6;"25244,3893291";"63277,70429";"0,0";"96106,3946057997";"195069,0763208";"0,0"
2000;7;"114511,7619433";"19595,97486";"78,9596687";"78185,6009920991";"206548,860133401";"0,0"
2000;8;"92608,1101561";"94847,3822908";"0,0";"76569,7039483001";"251558,0678585";"0,0"
2000;9;"70407,2503536";"64672,0978162";"0,0";"72445,4241273001";"202501,136125";"0,0"
2000;10;"66409,9977396";"304624,9329832";"0,0";"68377,7039428001";"196226,353762";"0,0"
2000;11;"701377,1966753";"139111,6402386";"0,0";"85207,5859236002";"135832,7229332";"0,0"
2000;12;"730702,348747501";"304480,5643741";"0,0";"105594,741705";"278207,383847799";"0,0"
2001;1;"30229,3886416";"57100,0323903";"0,0";"77067,8613765995";"181871,264629";"0,0"
2001;2;"8492,3162811";"150330,953809";"0,0";"78620,344537";"146049,2858627";"0,0"
2001;3;"223638,9219102";"230664,7844689";"0,0";"76870,4432700992";"205083,9802834";"0,0"
2001;4;"44349,8998095";"49993,839217";"0,0";"80050,1744624998";"150202,814844899";"0,0"
2001;5;"62012,3515068";"53385,4469181";"0,0";"89459,305648992";"159967,4612912";"0,0"
2001;6;"185583,7706486";"25540,1923139";"0,0";"109392,721470597";"166224,478731599";"0,0"
2001;7;"11454,6981736";"72399,2361058";"0,0";"103998,699645006";"183675,2832323";"0,0"
2001;8;"381463,4372113";"112002,9939927";"0,0";"51679,4679493";"205140,5992232";"0,0"
2001;9;"80297,9267907";"17242,6746772";"0,0";"64886,5775345";"189802,297145601";"0,0"
2001;10;"99191,3883714";"37981,4370547";"0,0";"62118,9145360999";"219366,552893799";"0,0"
2001;11;"229948,277997";"70987,9176229";"0,0";"81743,0905654001";"187522,534606901";"0,0"
2001;12;"185016,5922914";"38509,5025656";"0,0";"100239,5666928";"269279,9340679";"0,0"
2002;1;"13282,9547356";"83013,6023211";"0,0";"91276,0293361003";"202634,012273001";"0,0"
2002;2;"31074,0865556";"6667,2091963";"0,0";"61092,2804428";"156194,9781544";"0,0"
2002;3;"23411,1107422";"45907,3812623";"0,0";"84087,2539847";"234835,9686987";"0,0"
2002;4;"53056,8536188";"25361,0622536";"0,0";"87366,4081041999";"199961,3552361";"0,0"
2002;5;"36604,9163681";"52526,9044816";"0,0";"82670,3904798002";"226239,140845";"0,0"
2002;6;"28327,5782784";"36842,1984104";"0,0";"86761,4413629005";"173544,49764";"0,0"
2002;7;"17286,2544866";"25299,7754837";"0,0";"116715,6459801";"188000,990640599";"0,0"
2002;8;"67701,93925";"75247,3376789";"0,0";"59368,7881121006";"219651,2059684";"0,0"
2002;9;"19974,0049091";"296550,8512898";"0,0";"54516,2622256";"171930,0102574";"0,0"
2002;10;"37165,9641178";"248271,5808544";"0,0";"49632,9446152001";"244799,8130422";"0,0"
2002;11;"72216,6320105";"140023,102655";"0,0";"55057,5891557";"107979,0017131";"0,0"
2002;12;"114618,3515889";"188876,5609363";"0,0";"52425,7342711997";"359849,119209301";"0,0"
2003;1;"5784,5726307";"98334,1098006";"0,0";"75086,9570243998";"103350,2363306";"0,0"
2003;2;"20936,9630579";"39815,4410557";"0,0";"61367,8554723999";"137044,0522368";"0,0"
2003;3;"49384,0626009";"52190,0376033";"0,0";"52275,5516517001";"156417,259575";"0,0"
2003;4;"22646,7338743";"21889,6455309";"0,0";"47778,5048028";"180726,2637095";"7,4906592"
2003;5;"54201,0303764";"38565,910862";"0,0";"79961,0776018999";"243022,150275299";"15,4690472"
2003;6;"31728,9378094";"102440,3724135";"0,0";"107686,901483101";"260766,738978202";"15,9268809"
2003;7;"64049,0298236";"43006,5489483";"0,0";"109449,8952756";"274895,307891501";"21,6296873"
2003;8;"20603,4437828";"16629,3272709";"0,0";"64784,4648500001";"237446,7057707";"47,5404839"
2003;9;"34964,5859033";"45365,6678447";"0,0";"63535,5565326";"304820,995386201";"26,9582909"
2003;10;"26006,5313337";"266685,3450154";"0,0";"73402,3172519";"364141,491431701";"79,4283671"
2003;11;"43257,4005769";"816599,2651964";"0,0";"86805,3013345998";"322669,1950084";"58,2307626"
2003;12;"39211,8310182";"350913,4434538";"0,0";"87025,8665753998";"272396,656070501";"129,1416464"
2004;1;"7124,9615418";"219900,36562";"0,0";"83087,6362478001";"306856,9865499";"89,1529678"
2004;2;"57536,3925069";"299122,9631828";"0,0";"91241,2647791997";"307647,1130858";"199,5164218"
2004;3;"17725,3107447";"173654,074475";"0,0";"95746,0332951998";"208704,9414568";"206,9274857"
2004;4;"7164,793107";"253370,6525947";"0,0";"81921,8259383999";"298525,6702443";"197,3106289"
2004;5;"21441,5031172";"6176,134561";"0,0";"63094,4414251999";"247040,2803798";"228,8251925"
2004;6;"78502,0628815001";"5792,3447115";"0,0";"177983,559008403";"266740,127310401";"286,0963724"
2004;7;"66985,6191202";"9191,6665456";"0,0";"110603,3542846";"331564,033285199";"327,5662283"
2004;8;"118454,3985393";"24656,1632138";"0,0";"78057,3545696014";"318669,4104979";"403,1624396"
2004;9;"28544,7326138";"20686,5531683";"0,0";"122293,853070001";"367324,9584223";"410,8237637"
2004;10;"49663,7485742";"335386,8175206";"0,0";"58786,1165369001";"436637,808942202";"515,7982509"
2004;11;"47045,6151189";"365452,4988861";"0,0";"111133,9712981";"431355,659821099";"565,437273"
2004;12;"66727,7857124";"203207,1804346";"0,0";"109249,3021186";"414008,911731701";"752,317447"
2005;1;"22806,2745269";"45184,3327406";"0,0";"110043,310488701";"437202,044048099";"928,3257631"
2005;2;"23201,4947165";"103584,4236521";"0,0";"93752,1585353009";"317638,147050101";"1057,5594023"
2005;3;"28258,8145473";"30367,3034927";"0,0";"106233,7626643";"433416,5696088";"1037,4845938"
2005;4;"79152,3996325";"52172,445448";"0,0";"106808,1148807";"390885,4400182";"948,3812132"
