"ano";"mes";"agropecuaria";"industria_extrativa";"bebidas";"borracha_e_plastico";"celulose_e_papel";"confec_vestuario_e_acessorios";"coque_petroleo_e_combustivel";"couro_artefato_e_calcado";"equip_info_eletronico_otico";"farmoquimico_farmaceutico";"fumo";"grafica";"madeira";"manutencao_reparacao_instal";"maq_aparelho_eletrico";"maquinas_e_equipamentos";"metalurgia";"mineral_nao_metalico";"moveis";"outros_equip_transporte";"produto_de_metal";"produtos_alimenticios";"produtos_diversos";"quimica";"textil";"veiculo_reboque_e_carroceria";"administracao_publica";"agua_esgoto_e_lixo";"alojamento_e_alimentacao";"artes_cultura_e_esporte";"ativ_aux_transporte_e_entrega";"ativ_financeira_e_seguro";"ativ_imobil_profissional_e_adm";"comercio";"construcao";"educacao";"eletricidade_e_gas";"informacao_e_comunicacao";"organismos_internacionais";"outras_ativ_servicos";"saude_e_serv_social";"telecomunicacoes";"transporte_aereo";"transporte_aquaviario";"transporte_terrestre"
1996;9;"59,5255316200002";"15,34973818";"38,62385931";"18,03853296";"20,45603412";"0,77526897";"6,05022724";"3,60136435";"14,35065651";"1,69157743";"0,0";"2,13850394";"3,74730535";"0,0";"30,89886743";"26,08592357";"80,0638013199999";"33,9302603";"2,53907507";"5,60332214";"5,40355227";"25,74617819";"1,03305558";"23,6526237";"6,26638488";"19,64815465";"0,79926784";"0,60495329";"12,57516109";"4,7525165";"1,10110941";"28,42151057";"16,40260327";"22,82624983";"58,86265438";"3,50921342";"218,91515975";"2,81396448";"0,0";"0,36787671";"4,06302721";"1,43554273";"0,0";"22,97311452";"63,69644667"
1996;10;"42,6118711199999";"5,38679367";"16,99165328";"13,13089983";"30,4290487";"0,78594948";"20,45142527";"2,22346375";"1,60699734";"0,83639496";"0,0";"2,10957531";"18,29033483";"0,07191631";"12,73854297";"13,63766738";"11,13032756";"10,13416281";"3,38656906";"0,17658728";"8,68665597";"27,52636597";"2,96486315";"23,68092082";"8,3422946";"15,37614585";"0,06065419";"2,72696308";"10,40129997";"6,20723802";"1,66209415";"25,67968101";"26,26677005";"19,16200233";"40,35610742";"4,68967667";"71,35230073";"1,96690238";"0,0";"0,31456452";"5,88485022";"0,47638851";"0,0";"30,38533391";"68,0248604200001"
1996;11;"53,2827467900002";"14,098722";"14,16932994";"13,06559035";"42,93303054";"1,84285387";"11,02326439";"6,72388083";"6,68220741";"0,01867928";"0,0";"2,140692";"4,22533487";"0,0";"9,56232881";"23,24499721";"48,11341017";"12,43159559";"4,05406642";"0,0";"5,88596654";"28,5910555";"1,52645215";"37,24193151";"6,07360943";"10,46405896";"33,0";"9,62690166";"11,2550252";"6,37587619";"1,58728483";"14,79177181";"23,5010009";"23,03987713";"17,49559265";"4,57561099";"160,01179457";"2,28690879";"0,0";"0,12232464";"4,33881591";"0,04791989";"0,0";"15,56249974";"53,12958544"
1996;12;"51,3608920400001";"3,2409041";"34,13956547";"25,9925513";"127,36799098";"5,50112433";"28,47884416";"29,43890937";"12,67842653";"0,21379192";"0,32475577";"1,05282852";"21,96268742";"0,0";"22,50203785";"35,73014878";"49,18414302";"21,18920708";"4,76136536";"0,0";"6,26075189";"65,9675202000001";"1,84169284";"97,14499253";"22,63633366";"15,56376211";"51,20944";"145,18446724";"15,95420253";"1,33368662";"2,86236786";"33,0091127";"11,77822626";"50,6998275";"36,47912773";"5,75869448";"347,52517205";"3,47882932";"0,0";"0,45750447";"6,17653633";"6,80581779";"0,05010274";"25,84188468";"97,4172321399998"
1997;1;"33,2611657799999";"16,06651935";"8,52731652";"14,6848592";"51,35175258";"3,2489818";"1,70183239";"6,74282014";"1,53070911";"0,18118906";"0,7458393";"1,53480931";"3,11252838";"0,0";"27,68819149";"36,39214711";"10,86550779";"6,68644681";"5,01674573";"0,0";"8,58351946";"100,78323092";"0,77200704";"8,83317924";"5,97566316";"10,27411979";"0,0";"0,72243297";"8,62079318";"1,28288704";"19,06223085";"19,22242022";"6,11233464";"18,25350453";"4,0311903";"4,11096425";"276,81848785";"1,3520168";"0,0";"0,05092347";"5,06315317";"0,0";"0,0";"20,30808377";"46,96695477"
1997;2;"60,3177739600001";"10,2259802";"11,11229088";"11,13528787";"43,84808938";"2,77977534";"7,96162684";"2,68560078";"8,32792424";"0,23314429";"0,0";"0,30516096";"1,64837375";"0,03026815";"17,44954082";"17,41701746";"15,16651093";"8,67329991";"3,94060902";"14,45339104";"6,5358024";"24,82315034";"0,97820938";"9,47671363";"9,68340188";"8,41329792";"0,0";"2,83352212";"9,03650221";"8,96127922";"0,27692667";"9,17393558";"8,72104397";"18,49425879";"9,34438991";"5,40343851";"54,70514606";"0,50889069";"0,0";"0,08891513";"2,50177862";"1,55187624";"0,0";"8,52824201";"42,3594834000001"
1997;3;"79,34355293";"5,80622499";"2,91936789";"14,65956598";"25,29169968";"3,05586649";"1,07663716";"3,17351103";"7,79774161";"0,5246572";"0,0";"0,81227135";"8,06588962";"0,03038307";"12,86409368";"18,16089971";"34,19622912";"6,32373067";"3,1511621";"0,1076633";"3,85178094";"23,55393453";"0,74673897";"22,22618795";"8,72810439";"11,28162146";"0,36332699";"12,94155556";"13,54978834";"5,84372176";"2,38919183";"4,74523555";"7,0050496";"52,84056347";"9,18638435000001";"3,65632315";"262,30243219";"0,77193145";"0,0";"0,3191169";"2,03947097";"0,90590859";"0,03038127";"8,35257313";"26,60462658"
1997;4;"107,69138413";"9,77238612";"35,50874207";"11,84654572";"34,72951453";"2,89074657";"1,41253397";"3,24848302";"1,71221354";"1,11103968";"0,0";"1,70127583";"3,95522924";"2,26813364";"7,55388988";"29,33517363";"70,93371067";"15,60132855";"3,10444142";"1,35665039";"4,60124719";"72,68063478";"3,18302218";"15,07295897";"22,59078605";"7,09126381";"40,03679";"4,07743551";"11,58440554";"6,88015488";"19,59317101";"10,83352358";"10,83206354";"16,02808504";"13,45848256";"4,4549445";"132,33310385";"0,65426671";"0,0";"0,07565843";"3,86531492";"0,43002605";"0,0";"21,66739386";"86,6594814400001"
1997;5;"130,12590057";"664,46845713";"10,98261977";"12,05693984";"14,71204918";"2,74883615";"2,58326485";"17,90341091";"3,1383307";"0,0293393";"0,0";"3,26337492";"3,54003034";"0,0";"12,73134545";"23,12838887";"51,6627014";"6,16361663";"3,82551463";"30,38726434";"23,75513886";"44,14256738";"1,71112751";"11,3992855";"24,17027929";"8,67380039";"0,31708243";"9,83544187";"10,1351117";"2,70941054";"10,76316092";"41,45054962";"7,58260968";"19,95798031";"14,81532262";"5,45296662";"21,76441032";"0,98331844";"0,0";"0,1213623";"3,32098611";"24,07276901";"0,95999999";"9,17706595";"98,10592254"
1997;6;"178,93776048";"15,33220224";"32,05546745";"16,90690535";"36,21496459";"2,95986805";"3,13528691";"15,58638403";"6,74172334";"1,02923287";"1,75223346";"4,80782853";"8,93742345";"0,0";"7,479819";"39,05536469";"115,66295479";"12,07226114";"3,25902988";"44,1242557";"9,9737758";"39,15461472";"1,38649057";"12,77199185";"4,85730486";"33,76210214";"0,0";"3,66542205";"20,41804676";"4,52931974";"10,31574922";"13,10389558";"19,48486554";"59,6586322400001";"15,49688182";"4,38599146";"700,16806235";"0,40129113";"0,0";"0,2077323";"3,39943174";"94,14136944";"0,98999999";"11,86658722";"76,3598069699999"
