"tipo";"nome_agente_financeiro";"2020";"2019";"2018";"2017";"2016";"2015";"2014";"2013";"2012";"2011";"2010";"2009";"2008";"2007";"2006";"2005";"2004";"2003";"2002";"2001";"2000";"1999";"1998";"1997";"1996";"1995"
"Agente Privado";"ARAUCARIA BC";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"2,1782";"3,980338";"0,5792";"1,12289999";"0,45872952";"2,65745836";"0,99364599"
"Agente Privado";"ARBI BM     ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"1,65245";"6,37365691";"20,66602707";"1,39772043";"0,0";"3,126";"0,0";"0,0";"0,52120527";"1,15263175";"0,55372891"
"Agente Privado";"BANCESA     ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,69223799"
"Agente Privado";"BANCIDADE AM";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"1,05492317";"1,17795805";"0,0";"1,31157834";"0,0";"0,0";"0,0";"0,0"
"Agente Privado";"BANCO NACOES";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,497392";"1,79877206";"1,08668474";"4,38238753";"3,88114661"
"Agente Privado";"BANCO NEON  ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,1433";"1,473525";"0,33381445";"1,06129608";"0,44242516";"2,24569761";"1,14314657";"4,60657303";"2,88029583";"0,0"
"Agente Privado";"BANCOOB     ";"1115,29933919";"801,922107989996";"752,271737310003";"657,67523785";"512,53633816";"542,291495";"645,375768920001";"483,1567454";"231,90022184";"233,62661898";"219,08005837";"327,29015348";"49,40822841";"157,61357713";"35,40603923";"64,61858072";"44,61144564";"36,91582158";"46,6318606";"28,58269793";"20,99070583";"11,85157052";"0,021";"0,0";"0,0";"0,0"
"Agente Privado";"BANCOSANTOS ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"20,55802292";"818,148809330001";"623,578584849999";"345,5286008";"258,76312529";"49,62899212";"23,24958352";"0,0";"1,98864397";"0,0"
"Agente Privado";"BANDEIRAN BI";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,16603985";"0,10349371";"0,21927449";"0,67962361";"2,45464601";"28,20338949";"65,45593374";"34,5650884";"12,26484149"
"Agente Privado";"BANDEPE     ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,36695519";"0,09480144";"0,4145813";"0,21436342";"0,140668";"3,31956728";"25,15217433";"28,78761639"
"Agente Privado";"BANEB BM    ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"1,28432718";"0,20951523";"0,63322357";"4,18746241000001";"6,03707563000001";"10,03865855"
"Agente Privado";"BANESTADO BM";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,00339849";"0,05034531";"8,74565483";"34,15990506";"133,25470119";"141,300274409999";"163,358560060001"
"Agente Privado";"BANFORT     ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"2,218716";"44,35167307";"1,49750053"
"Agente Privado";"BANIF BM    ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"1,03023";"11,93201309";"18,92439247";"2,640869";"21,765437";"15,977501";"0,0";"2,11916111";"0,0";"0,0"
"Agente Privado";"BANORTE     ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"35,68395537";"34,57499188"
"Agente Privado";"BARCLAYS BM ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"13,924074";"2,44732077";"0,419146";"5,4055";"0,0";"5,09191745"
"Agente Privado";"BBC SVF     ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"1,57089044";"5,37344718";"2,02783629";"0,30049312"
"Agente Privado";"BBM BM      ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"81,79473256";"37,65048421";"165,07760942";"145,4698216";"28,2843112";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0"
"Agente Privado";"BCN BM      ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"5,24261573";"5,7057424";"36,76276511";"59,60196289";"226,06487299";"236,73566459";"228,014353210001";"152,28542099";"174,09301777";"246,444617480001"
"Agente Privado";"BCO MAIS    ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"2,634403";"45,198759";"0,0";"0,0";"0,0";"0,0"
"Agente Privado";"BCSUL BM    ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"14,06260651";"8,42654697";"8,55924407";"14,51422158";"23,54696782";"4,34149999";"0,0"
"Agente Privado";"BCV BM      ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"3,75294919";"1,4747491";"6,69282971";"70,26607301";"39,64661391";"6,50583616";"0,93";"0,255046";"0,0";"0,10394999";"0,0"
"Agente Privado";"BEA BM      ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,39017006";"1,93944987";"7,61331872";"5,98529193";"6,41489864";"6,78293597"
"Agente Privado";"BEC BM      ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,01559636";"0,0";"0,505865";"3,91623894";"14,85425342";"19,97300508"
"Agente Privado";"BEG BM      ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"2,68103612";"0,15126347";"0,0";"0,012212";"3,02386212";"12,28218091";"0,0";"0,0"
"Agente Privado";"BEMGE HDG   ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,06917451";"0,10181118";"0,0";"0,0"
"Agente Privado";"BFC ADM     ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"1,95433629"
"Agente Privado";"BI BM       ";"0,0";"0,0";"2,0";"5,0";"45,1047704";"41,28854712";"32,21133507";"43,24185248";"4,35362085";"14,51594915";"64,6177372";"32,501973";"25,94845533";"20,07498317";"6,399823";"19,02376779";"21,18983399";"26,48573844";"37,77695205";"31,07681204";"15,47618791";"1,62861566";"0,2";"2,6693561";"9,4036861";"0,0"
"Agente Privado";"BMC BI      ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,2241828";"51,85365536";"22,95365489";"14,29778165";"0,0";"0,0";"0,0"
"Agente Privado";"BMC LEASING ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"3,29182222";"2,50026127";"5,18159";"0,620736";"0,10239725";"1,4025024";"3,87639244";"0,0";"0,0";"0,0"
"Agente Privado";"BMD         ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"10,1673";"0,0";"0,0";"0,0"
"Agente Privado";"BMG BM      ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"45,83650931";"35,7132706";"103,61506946";"78,81047948";"32,18804961";"37,37104216";"59,75470978";"31,78326581";"9,26363377";"5,28332423";"4,49515824";"1,80503108";"41,26144257";"40,90920327";"36,90340862";"52,5669635400001"
"Agente Privado";"BMG LS      ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"14,54880865";"3,2514732";"25,41838014";"26,68924074";"13,10072401";"5,1894847";"4,6682952";"5,55052607";"2,02474229";"2,2458118";"1,14926405";"0,64504688";"19,47497418";"0,0";"0,0";"0,0"
"Agente Privado";"BNP BRASIL  ";"0,0";"0,0";"0,0";"2,136";"49,77373333";"5,95735001";"18,92519999";"34,62350001";"32,49999999";"0,0";"0,0";"50,0";"5,24087158";"122,95942972";"109,7334";"40,40872";"11,75921469";"0,0";"0,0";"0,79091652";"2,78012609";"3,0601746";"0,0";"0,0";"0,0";"0,0"
"Agente Privado";"BOFA BRASIL ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"23,85246289";"75,35581489";"53,004794";"173,34931666";"404,08518142";"286,78810013";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0"
"Agente Privado";"BOFA LIBBM  ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"52,12094299";"0,0";"0,0";"0,0"
"Agente Privado";"BONCRED FI  ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,3364";"0,7524";"0,8171";"2,6276";"1,2730439";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0"
"Agente Privado";"BONCRED LS  ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,1067";"1,52793859";"0,08196";"0,06315442";"1,59130285";"1,67492441";"0,68914515";"2,03534059";"2,3906488";"0,56073761";"0,0";"0,0";"0,0"
"Agente Privado";"BPN BC      ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"6,2778729";"56,08152228";"36,68565007";"28,8478116";"11,67381368";"5,4344508";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0"
"Agente Privado";"BRADESCO BBI";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,10741914";"2,06571936";"3,4436483"
"Agente Privado";"BRADESCO BM ";"6226,03773249998";"5003,66082363997";"6273,11849201008";"5876,94442383001";"7691,36457982012";"8071,15636970002";"14056,8983983296";"17456,3725609402";"12308,1357578602";"15403,7430091296";"17339,0468629598";"9323,90492222995";"8864,90259602999";"6877,91191994992";"5670,43988045999";"4367,28899976999";"3325,97419548";"2594,12621903999";"1941,97901972";"1856,3933623";"1735,23104467";"1121,27244021";"1106,35994677001";"949,56664062002";"693,464473110012";"636,569095750021"
"Agente Privado";"BRADESCO CAR";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,13519726";"20,38369173";"38,70940341";"67,51702366";"37,22924143";"8,67736981";"0,0";"0,0"
"Agente Privado";"BRADESCO FI ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"1,0";"8,08171793";"72,00188422";"108,22918527";"60,37981879";"17,5265335";"19,99916279";"64,74727075";"112,01086544";"94,8950480799999";"58,20552584";"30,93378357"
"Agente Privado";"BRADESCO LS ";"0,0";"0,0";"0,0";"0,0";"0,4725";"1,466584";"33,87330309";"51,85360987";"55,66352761";"172,45922061";"106,61509033";"103,84243123";"353,93160057";"340,49676245";"150,96717993";"99,23494787";"60,87911861";"120,85599354";"125,55547617";"93,82696378";"54,15760486";"34,79160579";"45,92255968";"0,0";"0,0";"0,0"
"Agente Privado";"BRJ BM      ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"5,3356";"11,38858673";"34,776296";"0,0";"0,0"
